model,condition,run_id,business_name,payments_received
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,1,Summit Residential Services,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,1,Lakewood Home Solutions,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,1,Elmridge Home Improvement,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,2,Summit Residential Services,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,2,Elmridge Home Improvement,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,2,Lakewood Home Solutions,0
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,3,Elmridge Home Improvement,0
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,3,Summit Residential Services,0
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,3,Lakewood Home Solutions,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,4,Summit Residential Services,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,4,Elmridge Home Improvement,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,4,Lakewood Home Solutions,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,5,Summit Residential Services,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,5,Lakewood Home Solutions,1
2507,contractors_authority_Qwen_Qwen3_4B_Instruct,5,Elmridge Home Improvement,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,1,Summit Residential Services,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,1,Elmridge Home Improvement,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,1,Lakewood Home Solutions,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,2,Elmridge Home Improvement,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,2,Summit Residential Services,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,2,Lakewood Home Solutions,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,3,Summit Residential Services,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,3,Lakewood Home Solutions,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,3,Elmridge Home Improvement,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,4,Summit Residential Services,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,4,Lakewood Home Solutions,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,4,Elmridge Home Improvement,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,5,Summit Residential Services,1
2507,contractors_control_Qwen_Qwen3_4B_Instruct,5,Lakewood Home Solutions,0
2507,contractors_control_Qwen_Qwen3_4B_Instruct,5,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,1,Summit Residential Services,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,1,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,1,Lakewood Home Solutions,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,2,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,2,Summit Residential Services,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,2,Lakewood Home Solutions,0
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,3,Summit Residential Services,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,3,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,3,Lakewood Home Solutions,0
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,4,Summit Residential Services,0
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,4,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,4,Lakewood Home Solutions,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,5,Elmridge Home Improvement,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,5,Summit Residential Services,1
2507,contractors_loss_aversion_Qwen_Qwen3_4B_Instruct,5,Lakewood Home Solutions,0
