Model,Dataset,Welfare Type,Limit,Run,Welfare,Welfare Optimal
gpt-4o,mexican_33_99,customer,10,1,711.6500000000001,762.53
gpt-4.1,mexican_33_99,customer,50,2,709.2700000000001,762.53
gpt-5,mexican_33_99,customer,5,5,743.7899999999998,762.53
gpt-4o,mexican_33_99,customer,5,2,693.64,762.53
gpt-4.1,mexican_33_99,customer,5,3,732.0900000000001,762.53
gpt-4o,mexican_33_99,customer,50,5,621.7900000000002,762.53
gpt-4.1,mexican_33_99,customer,3,1,688.3500000000003,762.53
gpt-4o,mexican_33_99,customer,100,5,711.4000000000001,762.53
gpt-5,mexican_33_99,customer,100,3,545.8799999999999,762.53
gpt-5,mexican_33_99,customer,50,2,624.5800000000002,762.53
gpt-5,mexican_33_99,customer,50,3,620.1000000000001,762.53
gpt-5,mexican_33_99,customer,100,2,567.57,762.53
gpt-4o,mexican_33_99,customer,3,1,698.79,762.53
gpt-4o,mexican_33_99,customer,100,4,706.5700000000002,762.53
gpt-5,mexican_33_99,customer,25,1,660.6800000000001,762.53
gpt-4.1,mexican_33_99,customer,100,1,656.9200000000003,762.53
gpt-4o,mexican_33_99,customer,50,4,671.9300000000001,762.53
gpt-4.1,mexican_33_99,customer,25,1,759.02,762.53
gpt-5,mexican_33_99,customer,5,4,760.55,762.53
gpt-4o,mexican_33_99,customer,5,3,683.69,762.53
gpt-4.1,mexican_33_99,customer,5,2,729.0699999999999,762.53
gpt-4.1,mexican_33_99,customer,50,3,710.0600000000001,762.53
gpt-4o,mexican_33_99,customer,50,3,700.0000000000001,762.53
gpt-4o,mexican_33_99,customer,100,3,632.6200000000002,762.53
gpt-5,mexican_33_99,customer,3,1,759.2099999999998,762.53
gpt-5,mexican_33_99,customer,100,5,628.9000000000001,762.53
gpt-4o,mexican_33_99,customer,25,1,698.6200000000001,762.53
gpt-5,mexican_33_99,customer,50,4,627.6199999999999,762.53
gpt-4.1,mexican_33_99,customer,50,4,713.1700000000001,762.53
gpt-5,mexican_33_99,customer,5,3,761.56,762.53
gpt-4.1,mexican_33_99,customer,5,5,746.4499999999999,762.53
gpt-4o,mexican_33_99,customer,5,4,670.9899999999999,762.53
gpt-5,mexican_33_99,customer,5,2,756.4200000000001,762.53
gpt-4.1,mexican_33_99,customer,5,4,749.55,762.53
gpt-4o,mexican_33_99,customer,5,5,699.71,762.53
gpt-5,mexican_33_99,customer,10,1,718.3199999999999,762.53
gpt-4.1,mexican_33_99,customer,50,5,699.2899999999998,762.53
gpt-5,mexican_33_99,customer,50,5,606.19,762.53
gpt-5,mexican_33_99,customer,100,4,599.1899999999999,762.53
gpt-4o,mexican_33_99,customer,100,2,500.99,762.53
gpt-4.1,mexican_33_99,customer,10,1,682.3900000000002,762.53
gpt-4o,mexican_33_99,customer,50,2,691.0699999999999,762.53
gpt-4o,mexican_33_99,customer,25,3,576.58,762.53
gpt-5,mexican_33_99,customer,3,3,752.34,762.53
gpt-4o,mexican_33_99,customer,100,1,641.2400000000001,762.53
gpt-4.1,mexican_33_99,customer,3,5,745.51,762.53
gpt-4o,mexican_33_99,customer,3,4,727.2800000000001,762.53
gpt-4.1,mexican_33_99,customer,10,2,615.67,762.53
gpt-5,mexican_33_99,customer,25,4,729.8200000000002,762.53
gpt-4o,mexican_33_99,customer,50,1,584.41,762.53
gpt-4.1,mexican_33_99,customer,100,4,678.6800000000002,762.53
gpt-4.1,mexican_33_99,customer,25,4,695.7799999999999,762.53
gpt-5,mexican_33_99,customer,5,1,744.17,762.53
gpt-5,mexican_33_99,customer,10,2,728.16,762.53
gpt-4o,mexican_33_99,customer,10,5,548.9000000000001,762.53
gpt-4o,mexican_33_99,customer,10,4,673.6900000000002,762.53
gpt-5,mexican_33_99,customer,10,3,745.47,762.53
gpt-4.1,mexican_33_99,customer,25,5,650.1700000000002,762.53
gpt-4.1,mexican_33_99,customer,100,5,709.75,762.53
gpt-5,mexican_33_99,customer,25,5,712.4200000000001,762.53
gpt-4.1,mexican_33_99,customer,10,3,713.8000000000001,762.53
gpt-5,mexican_33_99,customer,3,2,753.85,762.53
gpt-4.1,mexican_33_99,customer,3,4,737.6,762.53
gpt-4o,mexican_33_99,customer,3,5,648.7300000000004,762.53
gpt-4o,mexican_33_99,customer,25,2,697.3299999999999,762.53
gpt-4.1,mexican_33_99,customer,25,2,727.8500000000001,762.53
gpt-4.1,mexican_33_99,customer,5,1,724.9200000000001,762.53
gpt-5,mexican_33_99,customer,10,4,746.6199999999999,762.53
gpt-4o,mexican_33_99,customer,10,3,679.63,762.53
gpt-4o,mexican_33_99,customer,25,5,668.9100000000001,762.53
gpt-5,mexican_33_99,customer,100,1,676.2900000000001,762.53
gpt-5,mexican_33_99,customer,3,5,750.11,762.53
gpt-4o,mexican_33_99,customer,3,2,688.82,762.53
gpt-4.1,mexican_33_99,customer,3,3,718.81,762.53
gpt-4.1,mexican_33_99,customer,10,4,704.73,762.53
gpt-5,mexican_33_99,customer,25,2,664.3100000000002,762.53
gpt-4.1,mexican_33_99,customer,100,2,691.7100000000002,762.53
gpt-4.1,mexican_33_99,customer,100,3,584.3100000000001,762.53
gpt-5,mexican_33_99,customer,25,3,641.0500000000002,762.53
gpt-4.1,mexican_33_99,customer,10,5,728.5900000000001,762.53
gpt-5,mexican_33_99,customer,3,4,744.51,762.53
gpt-4o,mexican_33_99,customer,3,3,725.0200000000001,762.53
gpt-4.1,mexican_33_99,customer,3,2,722.2400000000001,762.53
gpt-4o,mexican_33_99,customer,25,4,725.53,762.53
gpt-5,mexican_33_99,customer,50,1,616.1700000000002,762.53
gpt-4o,mexican_33_99,customer,10,2,670.4600000000002,762.53
gpt-4.1,mexican_33_99,customer,50,1,672.3199999999999,762.53
gpt-5,mexican_33_99,customer,10,5,735.9999999999999,762.53
gpt-4o,mexican_33_99,customer,5,1,684.4300000000001,762.53
gpt-4.1,mexican_33_99,customer,25,3,731.08,762.53
